dataset,frame_idx,img_name,track_id,action,action_conf,det_conf,buf_size
fanning,22,20230609c_00250.jpg,84,neutral,0.9530720710754395,0.9304081201553345,5
fanning,22,20230609c_00250.jpg,90,neutral,0.9868566393852234,0.9176095128059387,4
fanning,22,20230609c_00250.jpg,72,neutral,0.7380716800689697,0.8873148560523987,8
fanning,23,20230609c_00251.jpg,90,neutral,0.7045918107032776,0.9383553862571716,5
fanning,23,20230609c_00251.jpg,84,fanning,0.6007152199745178,0.9190709590911865,6
fanning,24,20230609c_00252.jpg,111,buffering,0.0,0.9274887442588806,1
fanning,24,20230609c_00252.jpg,84,fanning,0.7556822299957275,0.9213300943374634,7
fanning,24,20230609c_00252.jpg,90,neutral,0.6645910739898682,0.9207668900489807,6
fanning,25,20230609c_00253.jpg,90,fanning,0.6806416511535645,0.9280561804771423,7
fanning,25,20230609c_00253.jpg,84,fanning,0.827885627746582,0.9219681024551392,8
fanning,26,20230609c_00254.jpg,84,fanning,0.8749213814735413,0.923859179019928,9
fanning,26,20230609c_00254.jpg,90,fanning,0.8572570085525513,0.9172266125679016,8
fanning,27,20230609c_00255.jpg,90,fanning,0.9047200679779053,0.9203004837036133,9
fanning,27,20230609c_00255.jpg,84,fanning,0.8905556797981262,0.9121145606040955,10
fanning,28,20230609c_00256.jpg,90,fanning,0.9211999773979187,0.9402079582214355,10
fanning,28,20230609c_00256.jpg,72,neutral,0.7794314622879028,0.9379445910453796,9
fanning,28,20230609c_00256.jpg,84,fanning,0.8757868409156799,0.90943843126297,11
fanning,29,20230609c_00257.jpg,90,fanning,0.9278208017349243,0.9336694478988647,11
fanning,29,20230609c_00257.jpg,146,buffering,0.0,0.9296448230743408,1
fanning,29,20230609c_00257.jpg,84,fanning,0.8832510709762573,0.8906482458114624,12
fanning,30,20230609c_00258.jpg,90,fanning,0.8955205678939819,0.945127546787262,12
fanning,30,20230609c_00258.jpg,152,buffering,0.0,0.9439244866371155,1
fanning,30,20230609c_00258.jpg,146,buffering,0.0,0.9363940954208374,2
fanning,30,20230609c_00258.jpg,151,buffering,0.0,0.9348613619804382,1
fanning,31,20230609c_00259.jpg,158,buffering,0.0,0.9422064423561096,1
fanning,31,20230609c_00259.jpg,152,buffering,0.0,0.9391707181930542,2
fanning,31,20230609c_00259.jpg,146,buffering,0.0,0.9283350110054016,3
fanning,31,20230609c_00259.jpg,90,fanning,0.9196481108665466,0.9049034714698792,13
fanning,31,20230609c_00259.jpg,160,buffering,0.0,0.8900517821311951,1
fanning,32,20230609c_00260.jpg,152,buffering,0.0,0.9445844292640686,3
fanning,32,20230609c_00260.jpg,158,buffering,0.0,0.9401326179504395,2
fanning,32,20230609c_00260.jpg,164,buffering,0.0,0.9205650091171265,1
fanning,32,20230609c_00260.jpg,90,fanning,0.9600822329521179,0.914785623550415,14
fanning,32,20230609c_00260.jpg,146,neutral,0.9952351450920105,0.8899997472763062,4
fanning,33,20230609c_00261.jpg,158,buffering,0.0,0.9434295892715454,3
fanning,33,20230609c_00261.jpg,146,neutral,0.9846113324165344,0.9382533431053162,5
fanning,33,20230609c_00261.jpg,152,neutral,0.9851807355880737,0.9369223713874817,4
fanning,33,20230609c_00261.jpg,90,fanning,0.8945431709289551,0.8684607148170471,15
fanning,34,20230609c_00262.jpg,158,neutral,0.9887080192565918,0.9385761618614197,4
fanning,34,20230609c_00262.jpg,152,neutral,0.9057013988494873,0.9287559390068054,5
fanning,34,20230609c_00262.jpg,173,buffering,0.0,0.9216815233230591,1
fanning,34,20230609c_00262.jpg,146,neutral,0.9755909442901611,0.9102449417114258,6
fanning,35,20230609c_00263.jpg,152,neutral,0.7837883830070496,0.9325363039970398,6
fanning,35,20230609c_00263.jpg,146,neutral,0.9111384749412537,0.931364893913269,7
fanning,35,20230609c_00263.jpg,158,neutral,0.9543869495391846,0.9264795184135437,5
fanning,35,20230609c_00263.jpg,178,buffering,0.0,0.9197868704795837,1
fanning,35,20230609c_00263.jpg,179,buffering,0.0,0.9111486673355103,1
fanning,35,20230609c_00263.jpg,173,buffering,0.0,0.8697104454040527,2
fanning,36,20230609c_00264.jpg,146,neutral,0.7011382579803467,0.9405713677406311,8
fanning,36,20230609c_00264.jpg,158,neutral,0.9474762678146362,0.9323755502700806,6
