dataset,frame_idx,img_name,track_id,action,action_conf,det_conf,buf_size
fanning,22,20230609c_00250.jpg,84,neutral,0.9832541346549988,0.9304081201553345,5
fanning,22,20230609c_00250.jpg,90,neutral,0.9593738913536072,0.9176095128059387,4
fanning,22,20230609c_00250.jpg,72,neutral,0.8607604503631592,0.8873148560523987,8
fanning,23,20230609c_00251.jpg,90,neutral,0.9375173449516296,0.9383553862571716,5
fanning,23,20230609c_00251.jpg,84,neutral,0.9769731760025024,0.9190709590911865,6
fanning,24,20230609c_00252.jpg,111,buffering,0.0,0.9274887442588806,1
fanning,24,20230609c_00252.jpg,84,neutral,0.986142098903656,0.9213300943374634,7
fanning,24,20230609c_00252.jpg,90,neutral,0.95485520362854,0.9207668900489807,6
fanning,25,20230609c_00253.jpg,90,neutral,0.9293597936630249,0.9280561804771423,7
fanning,25,20230609c_00253.jpg,84,neutral,0.9847025275230408,0.9219681024551392,8
fanning,26,20230609c_00254.jpg,84,neutral,0.8545222878456116,0.923859179019928,8
fanning,26,20230609c_00254.jpg,90,neutral,0.93892502784729,0.9172266125679016,8
fanning,27,20230609c_00255.jpg,90,neutral,0.9468626976013184,0.9203004837036133,8
fanning,27,20230609c_00255.jpg,84,neutral,0.9563049077987671,0.9121145606040955,8
fanning,28,20230609c_00256.jpg,90,neutral,0.927419126033783,0.9402079582214355,8
fanning,28,20230609c_00256.jpg,72,neutral,0.9017338156700134,0.9379445910453796,8
fanning,28,20230609c_00256.jpg,84,neutral,0.9869855046272278,0.90943843126297,8
fanning,29,20230609c_00257.jpg,90,neutral,0.8588952422142029,0.9336694478988647,8
fanning,29,20230609c_00257.jpg,146,buffering,0.0,0.9296448230743408,1
fanning,29,20230609c_00257.jpg,84,neutral,0.9688094258308411,0.8906482458114624,8
fanning,30,20230609c_00258.jpg,90,neutral,0.9822545647621155,0.945127546787262,8
fanning,30,20230609c_00258.jpg,152,buffering,0.0,0.9439244866371155,1
fanning,30,20230609c_00258.jpg,146,buffering,0.0,0.9363940954208374,2
fanning,30,20230609c_00258.jpg,151,buffering,0.0,0.9348613619804382,1
fanning,31,20230609c_00259.jpg,158,buffering,0.0,0.9422064423561096,1
fanning,31,20230609c_00259.jpg,152,buffering,0.0,0.9391707181930542,2
fanning,31,20230609c_00259.jpg,146,buffering,0.0,0.9283350110054016,3
